"VENDOR_ID","VENDOR_NAME","VENDOR_SITE_DETAILS",
152,"United Parcel Service","UPS-COLOMBES PARIS",
153,"Vision","VISION FR NANTERRE",
154,"Corporate Express Office Supply","CEOS Mountain View CA",
155,"Office Supplies, Inc.","NANTERRE Nanterre",
156,"Consolidated Supplies","BERLARE ERS Berlare",
157,"Corporate Express Office Supply","CEOS_READING Reading",
158,"American Telephone and Telegraph","VIRGINIA Richmond VA",
159,"Building Management Inc.","CHIGACO EFT Chigaco IL",
160,"iPrint","IPRINT1 EFT Chicago IL",
161,"Office Depot, Inc","PAYMENT Los Angeles CA",
162,"Star Gate Ltd","STRÖMSTAD Strömstad SE",
163,"Advantage Corp","ADVANTAGE IT Milano Italia",
164,"Office Supplies, Inc.","OFFICESUPPLIES Shaker Heights OH",
165,"CDS, Inc","CDSNJ Warren NJ",
166,"Bechtel","ROMA Roma",
167,"Senaux, Martine Mirelle","HOME Paris",
168,"Vision","BONN Bonn",
169,"American Telephone and Telegraph","KALMAR Kalmar SE",
170,"Bloemers, Piet","OFFICE Amsterdam",
171,"American Telephone and Telegraph","PARIS Paris",
172,"Exelon Electric and Gas","MAIN Chicago IL",
173,"Advantage Corp","UK EFT Uxbridge",
174,"GE Capital","WINDSOR Windsor",
175,"Lewis, David","OFFICE Boston MA",
176,"Pratt, John","OFFICE Dallas TX",
177,"Boise Cascade","SALES Atlanta GA",
178,"Advantage Corp","ADVANTAGE UK London",
179,"Advantage Corp","BRASSCHAAT BRASSCHAAT",
180,"Advantage Corp","FR CHECK LYON FRANCE",
181,"GE Plastics","GE PLVINCENNES PARIS",
182,"Valencia, Marianne","HOME Mantes La Jolie",
183,"Building Management Inc.","SUNDSVALL Sundsvall SE",
184,"Building Management Inc.","BM ITALIA Milano Italia",
185,"Bogini, Samuel","OFFICE San Francisco CA",
186,"Grainger","SALES (ERS) Marietta GA",
187,"Burnett, Mark","HOME Redwood Shores CA",
188,"Advantage Corp","MAIN (ERS) Richmond VA",
189,"Staples","STAPLES LA Glendale CA",
190,"Industrial Dressler","US HEADQUATERS San Francisco CA",
191,"Compusa Management Company","PAYMENTS (ERS) Dallas TX",
192,"Advantage Corp","ADVANTAGE FR Paris France",
193,"Office Max","SALES (ERS) Washington DC",
194,"American Telephone and Telegraph","DOGANA ROMA FCO Roma Italia",
195,"Bechtel","OFFICE NY CHECK New York NY",
196,"Advantage Corp","MALMÖ Malmö",
197,"Faro, Patrick","HOME BREDA",
198,"Vioget, Oliver Xavier","HOME Paris",
199,"Corporate Express Office Supply","ZOLA PARIS",
200,"Bechtel","DELFT Delft",
201,"Allied Manufacturing","ESSEN Essen",
202,"Bechtel","LIEGE Liege",
203,"Lacroix, Armand","HOME Pontoise",
204,"Heib, Christiane","OFFICE München",
205,"Advanced Network Devices","READING Reading",
206,"Star Gate Ltd","TRIUMPH A Paris",
207,"Advanced Network Devices","MILANO ERS Milano",
208,"Ulrich, Jeffery","OFFICE Chicago IL",
209,"Consolidated Supplies","RICHMOND Richmond",
210,"Marsh, Chris","OFFICE New York NY",
211,"Apt, Peter M.","OFFICE New York NY",
212,"Advanced Network Devices","PARIS PARIS FRANCE",
213,"Bechtel","BIRMINGHAM Birmingham",
214,"Allied Manufacturing","SLIEDRECHT Sliedrecht",
215,"Consolidated Supplies","FRANKFURT Frankfurt",
216,"United Parcel Service","STUTTGART Stuttgart",
217,"Star Gate Ltd","WIESBADEN Wiesbaden",
218,"American Telephone and Telegraph","HQ CHECK New York NY",
219,"Advantage Corp","IT EFT Milano Italia",
220,"Office Supplies, Inc.","NEW YORK New York NY",
221,"Weinberg, Jerry","OFFICE El Segundo CA",
222,"Advanced Network Devices","ANTWERPEN ERS Antwerpen",
223,"iPrint","CALIFORNIA Menlo Park CA",
224,"Vision","GÖTEBORG Göteborg SE",
225,"Beckworth, Mark Andrew","HOME Redwood Shores CA",
226,"General Electric","MEDFIELD-CTR Medfield MA",
227,"iPrint","CORPORATE (ERS) Chicago IL",
228,"Building Management Inc.","NEW YORK CHECK New York NY",
